item_name,item_brand,item_main_category,item_sub_category,Best_Profit_GBP_Per_Item,Best_Profit_Margin_Per_Item
dress shoes,Pierre Cardin,Shoes & Bags,Shoes,11.0,0.44
brush,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,12.8,0.44
hat,Vans,Accessories,Headwear,12.600000000000001,0.44
lip pencil,Guerlain,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,11.0,0.44
ring,Calvin Klein,Accessories,Jewellery,13.2,0.44
hand bag,Lancaster,Shoes & Bags,Bags,42.400000000000006,0.44
moisturiser,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,21.6,0.44
outdoor shoes,Vans,Shoes & Bags,Shoes,22.1,0.44
trousers,Tommy Jeans,Bottoms,Trousers,32.8,0.44
shoulder bag,Love Moschino,Shoes & Bags,Bags,107.0,0.44
hand bag,Love Moschino,Shoes & Bags,Bags,115.80000000000001,0.44
makeup premier,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,15.8,0.44
skirt,Calvin Klein,Bottoms,Skirts,19.8,0.44
sneakers,Vans,Shoes & Bags,Shoes,26.4,0.44
eye mask,Clarins,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,6.6,0.44
mascara,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,6.6,0.44
slippers,adidas,Shoes & Bags,Shoes,13.2,0.44
backpack,Vans,Shoes & Bags,Bags,20.2,0.43999999999999995
toner,La Mer,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,15.399999999999999,0.43999999999999995
sneakers,Love Moschino,Shoes & Bags,Shoes,109.80000000000001,0.43941176470588239
sandals,Love Moschino,Shoes & Bags,Shoes,46.1,0.43904761904761908
backpack,Love Moschino,Shoes & Bags,Bags,84.9,0.43888888888888888
hooded jacket,Calvin Klein,Outerwear,Jackets,32.9,0.43866666666666665
hooded jacket,Converse,Outerwear,Jackets,21.9,0.43799999999999994
t-shirt,Timberland,Shoes & Bags,Bags,18.6,0.43764705882352944
clutch,Pierre Cardin,Shoes & Bags,Bags,17.3,0.4375
after shave,Burberry,Cosmetics & Makeup & Selfcare,Selfcare,3.5,0.4375
steam generator iron,Philips,Home & Decoration,Home & Decoration,203.10000000000002,0.43677419354838715
makeup set,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,17.7,0.4366666666666667
espresso machine,Philips,Home & Decoration,Home & Decoration,165.0,0.4366666666666667
