date,device_category,registered_or_guest,no_visits,no_view_item,no_add_to_cart,no_purchases,no_transactions,conversion_rate
2020-01-19,tablet,guest,607,607,50,2,2,0.0032948929159802307
2020-01-19,tablet,registered,87,86,13,5,5,0.057471264367816091
2020-01-20,,guest,27444,0,0,0,0,0.0
2020-01-20,desktop,guest,12127,12104,1444,71,71,0.0058547043786591904
2020-01-20,desktop,registered,4114,4082,1036,228,228,0.055420515313563443
2020-01-20,mobile,guest,26501,26494,1759,48,48,0.0018112524055696011
2020-01-20,mobile,registered,3539,3522,761,147,147,0.041537157389092964
2020-01-20,tablet,guest,464,464,41,1,1,0.0021551724137931034
2020-01-20,tablet,registered,63,63,12,1,1,0.015873015873015872
2020-01-21,,guest,27356,0,0,0,0,0.0
2020-01-21,desktop,guest,11159,11139,1130,60,60,0.0053768258804552382
2020-01-21,desktop,registered,3604,3577,863,203,203,0.056326304106548278
2020-01-21,mobile,guest,25161,25149,1402,44,44,0.0017487381264655619
2020-01-21,mobile,registered,3217,3198,585,118,118,0.03668013677339136
2020-01-21,tablet,guest,384,384,31,1,1,0.0026041666666666665
2020-01-21,tablet,registered,53,53,10,0,0,0.0
2020-01-22,,guest,24700,0,0,0,0,0.0
2020-01-22,desktop,guest,9487,9472,801,34,34,0.0035838515863813639
2020-01-22,desktop,registered,2917,2897,630,139,139,0.047651696948920123
2020-01-22,mobile,guest,21515,21510,974,27,27,0.001254938415059261
2020-01-22,mobile,registered,2525,2514,393,71,71,0.02811881188118812
2020-01-22,tablet,guest,340,340,23,1,1,0.0029411764705882353
2020-01-22,tablet,registered,52,52,6,1,1,0.019230769230769232
2020-01-23,,guest,24389,0,0,0,0,0.0
2020-01-23,desktop,guest,10129,10113,918,42,42,0.00414651002073255
2020-01-23,desktop,registered,3060,3037,688,165,165,0.053921568627450983
2020-01-23,mobile,guest,22194,22189,1127,25,25,0.0011264305668198613
2020-01-23,mobile,registered,2593,2577,399,88,88,0.033937524103355189
2020-01-23,tablet,guest,362,362,27,0,0,0.0
2020-01-23,tablet,registered,49,49,8,0,0,0.0
2020-01-24,,guest,23939,0,0,0,0,0.0
2020-01-24,desktop,guest,9704,9691,1028,59,59,0.006079967023907667
2020-01-24,desktop,registered,3168,3148,740,203,203,0.064078282828282832
2020-01-24,mobile,guest,22005,22001,1364,52,52,0.002363099295614633
2020-01-24,mobile,registered,2736,2705,551,153,153,0.055921052631578948
2020-01-24,tablet,guest,335,335,23,3,3,0.0089552238805970154
2020-01-24,tablet,registered,70,70,20,3,3,0.042857142857142858
2020-01-25,,guest,21351,0,0,0,0,0.0
2020-01-25,desktop,guest,5128,5126,455,23,23,0.0044851794071762872
2020-01-25,desktop,registered,1544,1531,324,73,73,0.047279792746113991
2020-01-25,mobile,guest,21786,21778,1130,58,58,0.0026622601670797759
2020-01-25,mobile,registered,2475,2454,422,111,111,0.044848484848484846
2020-01-25,tablet,guest,360,360,32,2,2,0.0055555555555555558
2020-01-25,tablet,registered,47,47,11,0,0,0.0
2020-01-26,,guest,22557,0,0,0,0,0.0
2020-01-26,desktop,guest,4597,4594,358,21,21,0.0045681966499891234
2020-01-26,desktop,registered,1352,1340,293,76,76,0.056213017751479293
2020-01-26,mobile,guest,23493,23489,1137,37,37,0.0015749372153407398
2020-01-26,mobile,registered,2487,2477,391,73,73,0.029352633695215118
2020-01-26,tablet,guest,360,360,24,1,1,0.0027777777777777779
2020-01-26,tablet,registered,57,57,7,2,2,0.035087719298245612
2020-01-27,,guest,25205,0,0,0,0,0.0
2020-01-27,desktop,guest,9785,9774,945,37,37,0.0037812979049565662
2020-01-27,desktop,registered,3083,3063,670,172,172,0.055789815115147585
2020-01-27,mobile,guest,20809,20796,1286,53,53,0.0025469748666442403
2020-01-27,mobile,registered,2688,2675,516,114,114,0.042410714285714288
2020-01-27,tablet,guest,341,341,23,1,1,0.0029325513196480938
2020-01-27,tablet,registered,55,54,9,3,3,0.054545454545454543
2020-01-28,,guest,25004,0,0,0,0,0.0
2020-01-28,desktop,guest,8856,8844,734,33,33,0.0037262872628726286
2020-01-28,desktop,registered,2702,2692,511,118,118,0.043671354552183565
2020-01-28,mobile,guest,20825,20818,1114,42,42,0.0020168067226890756
2020-01-28,mobile,registered,2460,2451,414,100,100,0.04065040650406504
2020-01-28,tablet,guest,317,316,17,1,1,0.0031545741324921135
2020-01-28,tablet,registered,50,50,9,1,1,0.02
2020-01-29,,guest,23950,0,0,0,0,0.0
2020-01-29,desktop,guest,9071,9062,858,35,35,0.0038584500055120715
2020-01-29,desktop,registered,2924,2904,655,135,135,0.046169630642954859
